budget_pct,method,A1,A3,MRR,top1_confidence_proxy,top1_gap_proxy,confidence_scale_note
0.1,microrank_baseline,0.23366013071895422,0.4648692810457516,0.4104634704665342,,,legacy_unscaled
0.1,v9_metric_aware,0.22201797385620914,0.42320261437908496,0.3961814034730701,,,legacy_unscaled
0.1,v10_guard_aware_proxy,0.167687908496732,0.4393382352941176,0.3733575214273744,0.12801395966436555,0.0017839913355975553,proxy_ratio
0.1,v11_rca_aware,0.21058006535947713,0.3770424836601307,0.3713166587860215,0.1663853430481276,2.0147888756605656,proxy_ratio
0.1,paper_trastrainer,0.42590000000000006,0.7774,0.5509,,,paper_reported
1.0,microrank_baseline,0.26123366013071897,0.5641339869281046,0.4443300074991896,,,legacy_unscaled
1.0,v9_metric_aware,0.16176470588235295,0.4080882352941176,0.33970969174706916,,,legacy_unscaled
1.0,v10_guard_aware_proxy,0.14215686274509806,0.38031045751633985,0.3279763668811751,0.12284330885171325,0.009442325936275685,proxy_ratio
1.0,v11_rca_aware,0.19648692810457516,0.36192810457516345,0.3524124257174646,0.17505976926389621,2.9411382269480817,proxy_ratio
1.0,paper_trastrainer,0.45159999999999995,0.7852,0.5889,,,paper_reported
2.5,microrank_baseline,0.18504901960784315,0.5328839869281046,0.3988454293754539,,,legacy_unscaled
2.5,v9_metric_aware,0.11683006535947711,0.38276143790849676,0.30471103034450064,,,legacy_unscaled
2.5,v10_guard_aware_proxy,0.1178513071895425,0.32822712418300654,0.29383551220795306,0.13126124819890897,0.7011426039485364,proxy_ratio
2.5,v11_rca_aware,0.21037581699346405,0.36642156862745096,0.3634295108713001,0.1884636581569861,4.383122344833565,proxy_ratio
2.5,paper_trastrainer,0.5,0.8226,0.6556,,,paper_reported
