dataset,scenario_count,a1_internal,a1_microrank,a1_delta,a3_internal,a3_microrank,a3_delta,mrr_internal,mrr_microrank,mrr_delta,p50_internal_ms,p50_microrank_ms,p50_delta_ms
train-ticket,17,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.5294117647058824,0.411764705882353,0.19489034003694355,0.31720939415576094,0.12231905411881739,1618.589,455.869,-1162.72
hipster-batch1,24,0.041666666666666664,0.125,0.08333333333333334,0.2916666666666667,0.3333333333333333,0.04166666666666663,0.26375661375661374,0.32255291005291004,0.05879629629629629,8564.536,24297.23,15732.694
hipster-batch2,32,0.125,0.15625,0.03125,0.3125,0.4375,0.125,0.32333829365079364,0.37668650793650793,0.0533482142857143,12394.284,24157.284,11763.0
