variant,report
floor00_target50,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260324-201539-combined-proof-thesis-proof-20260324-201348.txt
floor10_target20,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260324-201939-combined-proof-thesis-proof-20260324-201539.txt
