dataset,budget_pct,budget_slug,paper_A@1_pct,paper_A@3_pct,paper_MRR,ours_A@1_pct,ours_A@3_pct,ours_MRR,delta_A@1_pct,delta_A@3_pct,delta_MRR
train-ticket,0.1,0p100pct,42.59,77.74,0.5509,15.384615384615385,30.76923076923077,0.32716258100873485,-27.205384615384617,-46.97076923076922,-0.2237374189912651
train-ticket,1.0,1p000pct,45.16,78.52,0.5889,17.647058823529413,41.17647058823529,0.34374057315233786,-27.512941176470584,-37.343529411764706,-0.24515942684766212
train-ticket,2.5,2p500pct,50.0,82.26,0.6556,11.76470588235294,52.94117647058824,0.33253821342056633,-38.23529411764706,-29.318823529411766,-0.32306178657943363
hipster-batch1,0.1,0p100pct,42.59,77.74,0.5509,33.33333333333333,50.0,0.4930555555555556,-9.256666666666675,-27.739999999999995,-0.057844444444444365
hipster-batch1,1.0,1p000pct,45.16,78.52,0.5889,7.142857142857142,42.857142857142854,0.3135770975056689,-38.01714285714286,-35.66285714285714,-0.27532290249433106
hipster-batch1,2.5,2p500pct,50.0,82.26,0.6556,16.666666666666664,50.0,0.387037037037037,-33.333333333333336,-32.260000000000005,-0.26856296296296295
hipster-batch2,0.1,0p100pct,42.59,77.74,0.5509,14.285714285714285,57.14285714285714,0.35714285714285715,-28.30428571428572,-20.597142857142856,-0.1937571428571428
hipster-batch2,1.0,1p000pct,45.16,78.52,0.5889,17.647058823529413,35.294117647058826,0.37826797385620914,-27.512941176470584,-43.22588235294117,-0.21063202614379084
hipster-batch2,2.5,2p500pct,50.0,82.26,0.6556,21.875,53.125,0.41982886904761907,-28.125,-29.135000000000005,-0.2357711309523809
