dataset,budget_pct,budget_slug,scenario_count,A@1,A@3,MRR,A@1_CI95,A@3_CI95,MRR_CI95,summary_file,phase1_summary_file,sampled_trace_dir,kept_trace_ids_file,calibrated_target_tps,budget_mode,achieved_keep_pct,pre_cap_keep_pct
train-ticket,0.1,0p100pct,13,0.15384615384615385,0.3076923076923077,0.32716258100873485,"[0.0, 0.38461538461538464]","[0.07692307692307693, 0.5384615384615384]","[0.18515074668920822, 0.521301775147929]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-0p100pct-coverage-first-20260403-paper-budgets-microrank-0p100pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-0p100pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/train-ticket/0p100pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/train-ticket/0p100pct/kept_trace_ids.txt,0.012121254791648613,strict,0.09866978511913463,25.069434293231986
train-ticket,1.0,1p000pct,17,0.17647058823529413,0.4117647058823529,0.34374057315233786,"[0.0, 0.35294117647058826]","[0.17647058823529413, 0.6470588235294118]","[0.19374057315233786, 0.5156862745098039]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-1p000pct-coverage-first-20260403-paper-budgets-microrank-1p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-1p000pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/train-ticket/1p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/train-ticket/1p000pct/kept_trace_ids.txt,0.012121254791648613,strict,1.0013155971349217,25.069434293231986
train-ticket,2.5,2p500pct,17,0.11764705882352941,0.5294117647058824,0.33253821342056633,"[0.0, 0.29411764705882354]","[0.29411764705882354, 0.7647058823529411]","[0.20833823039705393, 0.4711484593837535]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-2p500pct-coverage-first-20260403-paper-budgets-microrank-2p500pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-2p500pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/train-ticket/2p500pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/train-ticket/2p500pct/kept_trace_ids.txt,0.012121254791648613,strict,2.4996345563514106,25.069434293231986
hipster-batch1,0.1,0p100pct,6,0.3333333333333333,0.5,0.4930555555555556,"[0.0, 0.6666666666666666]","[0.16666666666666666, 0.8333333333333334]","[0.2222222222222222, 0.7638888888888888]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-0p100pct-coverage-first-20260403-paper-budgets-microrank-0p100pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-0p100pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch1/0p100pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch1/0p100pct/kept_trace_ids.txt,0.31511536444167815,strict,0.09963029749112796,59.625027789442484
hipster-batch1,1.0,1p000pct,14,0.07142857142857142,0.42857142857142855,0.3135770975056689,"[0.0, 0.21428571428571427]","[0.21428571428571427, 0.7142857142857143]","[0.21099773242630385, 0.44365079365079363]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-1p000pct-coverage-first-20260403-paper-budgets-microrank-1p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-1p000pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch1/1p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch1/1p000pct/kept_trace_ids.txt,0.31511536444167815,strict,0.9995965384647053,59.625027789442484
hipster-batch1,2.5,2p500pct,24,0.16666666666666666,0.5,0.387037037037037,"[0.041666666666666664, 0.3333333333333333]","[0.2916666666666667, 0.7083333333333334]","[0.2797453703703704, 0.5105324074074074]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-2p500pct-coverage-first-20260403-paper-budgets-microrank-2p500pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-2p500pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch1/2p500pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch1/2p500pct/kept_trace_ids.txt,0.31511536444167815,strict,2.49981473705012,59.625027789442484
hipster-batch2,0.1,0p100pct,7,0.14285714285714285,0.5714285714285714,0.35714285714285715,"[0.0, 0.42857142857142855]","[0.14285714285714285, 0.8571428571428571]","[0.17857142857142858, 0.6071428571428571]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-0p100pct-coverage-first-20260403-paper-budgets-microrank-0p100pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-0p100pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch2/0p100pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch2/0p100pct/kept_trace_ids.txt,0.08033133496599813,strict,0.10003090842676107,53.49293320969962
hipster-batch2,1.0,1p000pct,17,0.17647058823529413,0.35294117647058826,0.37826797385620914,"[0.0, 0.35294117647058826]","[0.11764705882352941, 0.5882352941176471]","[0.2434640522875817, 0.5277777777777778]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-1p000pct-coverage-first-20260403-paper-budgets-microrank-1p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-1p000pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch2/1p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch2/1p000pct/kept_trace_ids.txt,0.08033133496599813,strict,0.9997471128719548,53.49293320969962
hipster-batch2,2.5,2p500pct,32,0.21875,0.53125,0.41982886904761907,"[0.09375, 0.375]","[0.375, 0.71875]","[0.31279761904761905, 0.5419642857142857]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-2p500pct-coverage-first-20260403-paper-budgets-microrank-2p500pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-2p500pct-20260403-paper-budgets.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch2/2p500pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets/hipster-batch2/2p500pct/kept_trace_ids.txt,0.08033133496599813,strict,2.500210739273371,53.49293320969962
