dataset,profile,scenario_count,A@1,A@3,MRR,A@1_CI95,A@3_CI95,MRR_CI95,summary_file
train-ticket,coverage-first,17,0.11764705882352941,0.11764705882352941,0.19489034003694355,"[0.0000,0.2941]","[0.0000,0.2941]","[0.0780,0.3553]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-coverage-first-20260401-summary.json
hipster-batch1,coverage-first,24,0.041666666666666664,0.2916666666666667,0.26375661375661374,"[0.0000,0.1250]","[0.1250,0.4583]","[0.1915,0.3570]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-coverage-first-20260401-summary.json
hipster-batch2,coverage-first,32,0.125,0.3125,0.32333829365079364,"[0.0312,0.2500]","[0.1562,0.4688]","[0.2346,0.4241]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-coverage-first-20260401-summary.json
