variant,report
floor10_target20,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260324-211248-combined-proof-thesis-proof-20260324-210949.txt
floor20_target50,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260324-211551-combined-proof-thesis-proof-20260324-211248.txt
